source,date,username,content,url,engagement,sentiment,category1,category2,category3,pos_count,neg_count,score
youtube,2025-10-12T06:28:56Z,@ashleyfilipe5287,"Are you facing any issues with gaining pickup even at full throttle?
Sometimes the scooter goes upto even 60kmph in smart eco and sometimes struggles to gain pickup at full throttle (hardly goes to 20 to 30kmph).",https://www.youtube.com/watch?v=vODl_tsHJt4,1,negative,Other,Other,,0,1,-1
youtube,2024-05-24T06:57:27Z,@autocarindia1,*Correction* - The rear tyre size is 100/80-12.,https://www.youtube.com/watch?v=hIbrynqcwQ8,43,neutral,Other,Other,,0,0,0
youtube,2025-09-27T10:30:02Z,@007seeram,Could this scooter accommodate three individuals weighing approximately 70 kilograms?,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Software,Connectivity,app,0,0,0
youtube,2025-09-11T11:46:27Z,@ManeSmit,Tu Bombay kyu bol raha hai be? Mumbai bol.,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2025-06-04T23:55:45Z,@Deepak-tw8lx,"Skinny Tyres at only 90mm width. 
Minimum 100mm front and 110 or 120 mm rear tyre would have been nice.",https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2025-01-28T05:47:51Z,@joe_dg,Textbook guy😂,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2025-01-25T04:03:39Z,@mithunmitz9646,Jokes apart... The scooter looks nice.. A much more friendly one with the Ather DNA... That's kinda cool.. 🔥🔥🔥,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2025-01-14T16:24:18Z,@ajitsoni.navsari,There are no beeping sounds with signals light is shocking. Average is 60 to 65 only wait before you buy for better options,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-12-29T16:01:03Z,@manindermann8164,please compare scooter battery tech and battery life; that is the biggest saving compared to all scooter battery cycle??,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Product,Battery & Range,battery,0,0,0
youtube,2024-12-18T15:57:08Z,@vinaykumarj3812,Is the battery compartment water proof like in flood situation?,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Product,Battery & Range,battery,0,0,0
youtube,2024-12-16T04:18:56Z,@DinuKumar-g1j,All family members need a riding jacket and gloves now. LOL 😂😂😂,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,positive,Other,Other,,1,0,1
youtube,2024-12-03T20:04:36Z,@maheshchandrar8448,"Owning an Ather Rizta is not completely owning it if you have to keep paying for its softwares even after 3 years, even if its a 1000 rs , then of what worth is buying an electric scooter , if we are paying such huge price upfront and we don't know the performance of these batteries and the service charges if they are gonna prove costly....buying something means complete ownership from day 1 and not like a subscription on netflix",https://www.youtube.com/watch?v=hIbrynqcwQ8,1,neutral,Product,Battery & Range,charge,0,0,0
youtube,2024-11-28T13:26:45Z,@IndiaisHindupromisedland,Average Indian Male😂😂😂,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-11-20T18:03:23Z,@saranb5443,"Don't buy..I am getting 60km range for base model in eco mode,What a waste.When escalated l,Ather custom care is saying to achieve the claimed range we have to use it for a complete day..what a mess..I am sure most of us will not drive 100km per day",https://www.youtube.com/watch?v=hIbrynqcwQ8,1,neutral,Product,Battery & Range,range,0,0,0
youtube,2024-11-18T18:16:23Z,@rishav120,He is like the young and slim Rajiv Masand 🤔,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-11-10T17:12:15Z,@p.c.phillips6550,Talking less with preseting only with the features of the scooter would have been better. A bit slower and clearer talk is needed as other language viewers also watch it.,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,negative,Other,Other,,0,1,-1
youtube,2024-11-07T07:42:54Z,@sabarishmenon4318,"Motor is noisy 😂. Let it be, we like some sound.",https://www.youtube.com/watch?v=hIbrynqcwQ8,1,neutral,Product,Performance & Power,motor,0,0,0
youtube,2024-11-04T15:36:31Z,@jawadaskari2231,Very few can talk so accurately and professionally like you.....your explanations made me feel proud for owning one already.......to me its a heavenly ride. Friends ...just throw away your old petrol bike and go for it. Your life will change,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-11-03T02:46:13Z,@arko966,"When you turn the handlebars to the fullest in traffic you will always have your legs down, so they will never foul.",https://www.youtube.com/watch?v=hIbrynqcwQ8,1,neutral,Other,Other,,0,0,0
youtube,2024-10-30T07:46:26Z,@satyaranjan9394,Best Scotty,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-10-21T11:41:47Z,@suhritshakya01,The presenter looks like elvis presley,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-10-20T16:10:40Z,@khurshidali340,I have not seen a single scooter on the road,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-10-09T08:39:00Z,@nikhilpulsarmania,I was supposed to buy ola s1 pro but after watching various issues with it now better to go with ritza,https://www.youtube.com/watch?v=hIbrynqcwQ8,5,negative,Other,Other,,0,1,-1
youtube,2024-10-08T21:08:20Z,@3dzyn,"Is it more practical than the Honda Activa?
answer- NOPE",https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-10-04T03:12:10Z,@Dhaval333,🥱🥱🥱,https://www.youtube.com/watch?v=hIbrynqcwQ8,0,neutral,Other,Other,,0,0,0
youtube,2024-09-29T03:20:41Z,@aruntank,"भाइयों मैंने 15 दिन पहले ही ऐथर रिजटा एस मॉडल परचेस किया है।
कंपनी इस गाड़ी का एवरेज 123 किमी कह रही है लेकिन यह सरासर झूठ है। यह गाड़ी ईको मोड़ पर सिर्फ 100 किलोमीटर और जिप मोड पर 75 किलोमीटर चलती है इसके उपरांत ईको मोड़ पर यह गाड़ी चलने में बहुत दबती है। 30-35 की स्पीड से ऊपर जाती नहीं है. और इसकी सबसे बड़ी कमी यह गाड़ी फुल बैटरी चार्ज होने में 7 से 8 घंटे लेती है जोकि बड़ा पकाऊ है।
गाड़ी लुकिंग में अच्छी है ।",https://www.youtube.com/watch?v=hIbrynqcwQ8,1,neutral,Other,Other,,0,0,0
